,Connections_0_LevelID,Connections_0_PowerKW,Connections_0_Quantity,betweenness_centrality,closeness_centrality,degree_centrality,median_age,median_hh_income,total_pop,hh_total,avg_travel_time,pct_white,pct_black,pct_asian,pct_hispanic,pct_bachelor,pct_access_to_veh,pct_30-34_min,pct_45-49_min,geometry,k
0,2,3.0,2.0,0.013425845622264426,2.1563888101211393e-05,0.0009940357852882703,38.2,82479.0,7403.0,7403.0,37.50769230769231,71.44400918546535,0.7429420505200593,5.91652032959611,79.02201810076996,3.620153991625017,39.51100905038498,8.955828718087263,6.038092665135756,POINT (-13150927.75202986 4022419.156140559),4
1,2,3.0,4.0,0.010179848080297732,2.1320917325531585e-05,0.0009940357852882703,34.0,79353.0,4677.0,4677.0,36.6475,61.36412230062006,4.639726320290785,5.687406457130639,72.56788539662176,1.3256360915116527,42.762454564892025,8.210391276459267,5.986743639084883,POINT (-13151894.22784892 4021593.973698698),4
2,2,3.0,2.0,0.022673677052771617,2.1431278524799655e-05,0.0019880715705765406,38.5,68388.0,4141.0,4141.0,41.035928143712574,65.56387346051679,3.0185945423810674,8.74184979473557,72.85679787490945,0.941801497222893,40.32842308621106,8.452064718666989,4.998792562183048,POINT (-13150584.77667872 4020982.831480209),4
3,2,3.7,4.0,0.010137966632222575,2.128547545600968e-05,0.0009940357852882703,38.2,82479.0,7403.0,7403.0,37.50769230769231,71.44400918546535,0.7429420505200593,5.91652032959611,79.02201810076996,3.620153991625017,39.51100905038498,8.955828718087263,6.038092665135756,POINT (-13152527.63575154 4021727.896899745),4
4,2,3.0,2.0,0.012622067742686314,2.1386903997571795e-05,0.0019880715705765406,38.5,68388.0,4141.0,4141.0,41.035928143712574,65.56387346051679,3.0185945423810674,8.74184979473557,72.85679787490945,0.941801497222893,40.32842308621106,8.452064718666989,4.998792562183048,POINT (-13150084.27311617 4020856.149428854),4
5,2,3.0,4.0,0.010146182314514604,2.1291588610289964e-05,0.0009940357852882703,34.2,65880.0,4582.0,4582.0,34.67151162790697,69.33653426451332,4.692274116106504,6.154517677869926,79.1575731121781,2.4879965080750766,37.538192928852034,6.831078131820166,4.233958969882147,POINT (-13152821.51920723 4021762.786969482),4
6,2,3.7,4.0,0.010146182314514604,2.1291588610289964e-05,0.0009940357852882703,34.2,65880.0,4582.0,4582.0,34.67151162790697,69.33653426451332,4.692274116106504,6.154517677869926,79.1575731121781,2.4879965080750766,37.538192928852034,6.831078131820166,4.233958969882147,POINT (-13152821.51920723 4021762.786969482),4
7,2,3.0,2.0,0.012622067742686314,2.1386903997571795e-05,0.0019880715705765406,38.5,68388.0,4141.0,4141.0,41.035928143712574,65.56387346051679,3.0185945423810674,8.74184979473557,72.85679787490945,0.941801497222893,40.32842308621106,8.452064718666989,4.998792562183048,POINT (-13150066.35067815 4020753.72866817),4
8,3,40.0,1.0,0.0032049191305065458,2.1460634956277353e-05,0.0009940357852882703,34.4,63205.0,5803.0,5803.0,39.18181818181818,64.96639669136654,0.8099259003963468,7.168705841805963,77.75288643804929,1.275202481475099,42.6503532655523,9.908667930380838,5.342064449422712,POINT (-13148904.94329876 4021567.001380245),4
9,2,3.7,3.0,0.010146182314514604,2.1291588610289964e-05,0.0009940357852882703,34.2,65880.0,4582.0,4582.0,34.67151162790697,69.33653426451332,4.692274116106504,6.154517677869926,79.1575731121781,2.4879965080750766,37.538192928852034,6.831078131820166,4.233958969882147,POINT (-13152959.55537582 4021684.687038039),4
10,3,120.0,12.0,0.0037990426815196323,2.1801059444735423e-05,0.0009940357852882703,39.1,86674.0,8316.0,8316.0,33.681940700808624,57.63588263588264,1.479076479076479,9.800384800384801,73.02789802789803,3.9802789802789804,44.612794612794616,7.347282347282347,8.501683501683502,POINT (-13148268.44071429 4022544.486669054),2
11,2,3.0,2.0,0.23097223272347028,2.2093953766490804e-05,0.0032306163021868783,39.6,44113.0,4013.0,4013.0,34.07786885245902,63.99202591577373,10.665337652628956,0.32394717169200105,81.46025417393471,3.2145527037129327,30.401196112633937,7.450784948916023,5.3077498131074,POINT (-13149728.84111401 4025408.635316571),0
12,2,3.0,1.0,0.0004829956379051073,2.0438531642914943e-05,0.0007455268389662028,39.6,44113.0,4013.0,4013.0,34.07786885245902,63.99202591577373,10.665337652628956,0.32394717169200105,81.46025417393471,3.2145527037129327,30.401196112633937,7.450784948916023,5.3077498131074,POINT (-13150565.51840682 4025953.054356592),0
13,2,3.7,1.0,0.0004829956379051073,2.0438531642914943e-05,0.0007455268389662028,39.6,44113.0,4013.0,4013.0,34.07786885245902,63.99202591577373,10.665337652628956,0.32394717169200105,81.46025417393471,3.2145527037129327,30.401196112633937,7.450784948916023,5.3077498131074,POINT (-13150565.51840682 4025953.054356592),0
14,2,3.7,2.0,0.012622067742686314,2.1386903997571795e-05,0.0019880715705765406,30.8,59407.0,5427.0,5427.0,39.31990521327014,50.48829924451815,4.90141883176709,6.873042196425281,81.81315644002211,1.5109637000184264,38.87967569559609,8.77096001474111,3.2983231988207113,POINT (-13149491.28532066 4020102.942872807),4
15,3,120.0,12.0,0.012622067742686314,2.1386903997571795e-05,0.0019880715705765406,39.0,96514.0,7281.0,7281.0,36.49256505576208,55.65169619557753,2.3623128691113857,11.495673671199011,66.46065100947672,0.7828594973217964,36.94547452273039,12.031314379892871,4.395000686718857,POINT (-13149193.72832177 4020006.472689159),2
