,ID,AddressInfo_Postcode,Connections_0_LevelID,Connections_0_PowerKW,Connections_0_Quantity,geometry,betweenness_centrality,closeness_centrality,degree_centrality
0,139561,90241,2,3.0,2.0,POINT (-13150927.75202986 4022419.156140559),0.013425845622264426,2.1563888101211393e-05,0.0009940357852882703
1,4841,90241,2,3.0,4.0,POINT (-13151894.22784892 4021593.973698698),0.010179848080297732,2.1320917325531585e-05,0.0009940357852882703
2,75793,90723,2,3.0,2.0,POINT (-13150584.77667872 4020982.831480209),0.022673677052771617,2.1431278524799655e-05,0.0019880715705765406
3,121989,90241,2,3.7,4.0,POINT (-13152527.63575154 4021727.896899745),0.010137966632222575,2.128547545600968e-05,0.0009940357852882703
4,139551,90241,2,3.0,2.0,POINT (-13150084.27311617 4020856.149428854),0.012622067742686314,2.1386903997571795e-05,0.0019880715705765406
5,2501,90241,2,3.0,4.0,POINT (-13152821.51920723 4021762.786969482),0.010146182314514604,2.1291588610289964e-05,0.0009940357852882703
6,121991,90241,2,3.7,4.0,POINT (-13152821.51920723 4021762.786969482),0.010146182314514604,2.1291588610289964e-05,0.0009940357852882703
7,139549,90241,2,3.0,2.0,POINT (-13150066.35067815 4020753.72866817),0.012622067742686314,2.1386903997571795e-05,0.0019880715705765406
8,158646,90241,3,40.0,1.0,POINT (-13148904.94329876 4021567.001380245),0.0032049191305065458,2.1460634956277353e-05,0.0009940357852882703
9,41965,90241,2,3.7,3.0,POINT (-13152959.55537582 4021684.687038039),0.010146182314514604,2.1291588610289964e-05,0.0009940357852882703
10,105075,90240-3307,3,120.0,12.0,POINT (-13148268.44071429 4022544.486669054),0.0037990426815196323,2.1801059444735423e-05,0.0009940357852882703
11,139585,90040,2,3.0,2.0,POINT (-13149728.84111401 4025408.635316571),0.23097223272347028,2.2093953766490804e-05,0.0032306163021868783
12,61721,90040,2,3.0,1.0,POINT (-13150565.51840682 4025953.054356592),0.0004829956379051073,2.0438531642914943e-05,0.0007455268389662028
13,122047,90040,2,3.7,1.0,POINT (-13150565.51840682 4025953.054356592),0.0004829956379051073,2.0438531642914943e-05,0.0007455268389662028
14,139537,90241,2,3.7,2.0,POINT (-13149491.28532066 4020102.942872807),0.012622067742686314,2.1386903997571795e-05,0.0019880715705765406
15,109046,90241,3,120.0,12.0,POINT (-13149193.72832177 4020006.472689159),0.012622067742686314,2.1386903997571795e-05,0.0019880715705765406
16,121996,90280,2,3.7,2.0,POINT (-13154243.29174364 4022105.654671047),0.010158104319645143,2.1297899356876115e-05,0.0009940357852882703
17,26851,90280,2,3.0,2.0,POINT (-13154243.29174364 4022105.654671047),0.010158104319645143,2.1297899356876115e-05,0.0009940357852882703
18,121961,90242,2,3.0,2.0,POINT (-13152869.29753268 4019143.027021428),0.00813735533604241,2.093007072806344e-05,0.0014910536779324055
19,75792,90242,2,3.0,2.0,POINT (-13152869.29753268 4019143.027021428),0.00813735533604241,2.093007072806344e-05,0.0014910536779324055
20,121965,90242,2,3.7,5.0,POINT (-13153445.06420296 4019427.993005443),0.008102577673407727,2.090887676234851e-05,0.0014910536779324055
21,26839,90242,2,3.0,5.0,POINT (-13153445.06420296 4019427.993005443),0.008102577673407727,2.090887676234851e-05,0.0014910536779324055
22,139509,90242,2,3.7,1.0,POINT (-13149950.36690069 4018522.356743659),0.0014262548003057965,2.062573326863621e-05,0.0004970178926441351
23,139512,90242,3,40.0,1.0,POINT (-13152605.20317272 4018683.169144922),0.016365886213912155,2.098463210762286e-05,0.0019880715705765406
24,139506,90242,3,40.0,1.0,POINT (-13150439.28210426 4018325.150998106),0.0014262548003057965,2.062573326863621e-05,0.0004970178926441351
25,122051,90660,2,3.7,3.0,POINT (-13147426.19744695 4026018.027689872),0.0012041842902317638,2.1608341103825717e-05,0.0009940357852882703
26,115464,90660,2,3.0,4.0,POINT (-13147426.19744695 4026018.027689872),0.0012041842902317638,2.1608341103825717e-05,0.0009940357852882703
27,121963,90241,2,3.7,2.0,POINT (-13147885.61298546 4019281.563554986),0.009716804813673268,2.1245971603200402e-05,0.0009940357852882703
28,41964,90241,2,3.0,2.0,POINT (-13147885.61298546 4019281.563554986),0.009716804813673268,2.1245971603200402e-05,0.0009940357852882703
29,139503,90242,2,3.0,2.0,POINT (-13150282.48860148 4018092.86845887),0.0014262548003057965,2.062573326863621e-05,0.0004970178926441351
30,139538,90241,2,3.0,3.0,POINT (-13146889.52618184 4020126.020700902),0.005361690162282581,2.1057853228273054e-05,0.0007455268389662028
31,139499,90242,2,3.7,36.0,POINT (-13150039.82324349 4017951.381662251),0.0014262548003057965,2.062573326863621e-05,0.0004970178926441351
32,139501,90242,2,3.0,2.0,POINT (-13149578.59319729 4018000.265306729),0.0075344601543115165,2.085815546352654e-05,0.0009940357852882703
33,139496,90242,2,3.7,4.0,POINT (-13149874.44700797 4017829.066148445),0.02073576438460957,2.0202405879485394e-05,0.0007455268389662028
34,122000,90280,2,3.0,2.0,POINT (-13156155.3821092 4022530.435731838),0.009248943327358742,2.109002493608305e-05,0.0019880715705765406
35,89258,90280,2,3.0,2.0,POINT (-13156155.3821092 4022530.435731838),0.009248943327358742,2.109002493608305e-05,0.0019880715705765406
36,121118,90242,2,3.7,10.0,POINT (-13150419.4004432 4017591.977926882),0.02073576438460957,2.0202405879485394e-05,0.0007455268389662028
37,121114,90242,2,3.7,1.0,POINT (-13150569.88584269 4017533.4558271),0.020736505649177273,2.0006299046046113e-05,0.0007455268389662028
38,121966,90280,2,3.7,2.0,POINT (-13155265.20466913 4019495.556562485),0.008114129046254416,2.0918340495986616e-05,0.0009940357852882703
39,139511,90242,2,3.7,2.0,POINT (-13154382.75430363 4018553.732448105),0.008102577673407727,2.090887676234851e-05,0.0014910536779324055
40,158649,90280,2,3.7,1.0,POINT (-13156599.03480781 4022651.311933797),0.0033499598975868876,2.1046242345015798e-05,0.0009940357852882703
41,139619,90040,2,3.0,2.0,POINT (-13151945.21217571 4028533.692996019),0.21805748902063632,2.1877972515292507e-05,0.002982107355864811
42,139626,90040,2,3.7,5.0,POINT (-13153086.34827583 4028897.899292745),0.08097222036906081,2.0240298941981154e-05,0.0004970178926441351
43,121947,90650,2,3.7,4.0,POINT (-13147232.62398441 4017259.078090979),0.0038027490043581417,2.053045173012058e-05,0.0007455268389662028
44,139602,90270,2,3.7,6.0,POINT (-13156743.75014584 4026542.794885123),0.02583189651551294,2.1448591526524518e-05,0.0019880715705765406
45,139632,90640,2,3.7,2.0,POINT (-13148716.63524813 4029517.885078831),0.017665199456998997,2.092165650006142e-05,0.0009940357852882703
46,139635,90040,2,3.7,4.0,POINT (-13153098.59341982 4029870.238299287),0.08097222036906081,2.0240298941981154e-05,0.0004970178926441351
47,26890,90022,2,3.0,2.0,POINT (-13152776.99141091 4030333.944692373),0.12766151043033375,2.182685303919858e-05,0.0019880715705765406
48,122097,90022,2,3.7,2.0,POINT (-13152776.99141091 4030333.944692373),0.12766151043033375,2.182685303919858e-05,0.0019880715705765406
49,139560,90670,2,3.0,2.0,POINT (-13142866.66242355 4022039.764227669),0.001635291408397737,2.0365477177533525e-05,0.0009940357852882703
50,121959,90262,2,3.0,4.0,POINT (-13157923.73674825 4018895.983762532),0.01250457730870556,2.0387834437680333e-05,0.0007455268389662028
51,89252,90262,2,3.0,4.0,POINT (-13157923.73674825 4018895.983762532),0.01250457730870556,2.0387834437680333e-05,0.0007455268389662028
52,139478,90650,2,3.7,1.0,POINT (-13146956.87447377 4015605.802649712),0.021596434319758804,2.1003994309063008e-05,0.0009940357852882703
53,139472,90723,2,3.0,2.0,POINT (-13153573.76066627 4014954.478383108),0.0009643852025801938,2.04157040294241e-05,0.0009940357852882703
54,158679,90640,2,3.7,1.0,POINT (-13146789.90636953 4030701.055603543),0.017722153284617428,2.0989546384884906e-05,0.0009940357852882703
55,158680,90640,2,3.7,2.0,POINT (-13146782.85984576 4030735.409065762),0.017722153284617428,2.0989546384884906e-05,0.0009940357852882703
56,158603,90706,2,3.7,18.0,POINT (-13149723.83173693 4013482.603927894),0.004132055788559718,1.935615541038885e-05,0.0007455268389662028
57,121113,90650,2,3.7,3.0,POINT (-13143137.50274465 4017376.196237186),0.014566590019910368,2.083417449584012e-05,0.0009940357852882703
58,139669,90640,2,3.7,2.0,POINT (-13149192.02513356 4032593.027236229),0.0,1.801044218478926e-05,0.00024850894632206757
59,139459,90723,2,3.0,2.0,POINT (-13153550.75092752 4013374.979298631),0.00048231614538471387,1.9873253924523153e-05,0.0009940357852882703
60,129326,91789,2,7.0,2.0,POINT (-13159386.52228305 4027978.086219878),0.02441571055891843,2.1148619923798213e-05,0.0009940357852882703
61,102445,90650,2,3.0,4.0,POINT (-13142519.56825126 4017556.483530914),0.014566590019910368,2.083417449584012e-05,0.0009940357852882703
62,114178,90640,2,16.0,6.0,POINT (-13150164.43428149 4032940.747295751),0.012164275100083072,1.744968410067127e-05,0.0004970178926441351
63,121587,90640,2,3.0,1.0,POINT (-13149520.33970776 4032990.044427346),0.0,1.801044218478926e-05,0.00024850894632206757
